"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000181291",228.518621796036,1.04292633200749,0.495852432828405,2.10329981857406,0.0354395693068779,0.543931198010637
"ENSG00000206195",2.52473397696577,1.47793053265824,0.684840394730898,2.1580656515435,0.0309227278371387,0.525965088379841
"ENSG00000236499",3.43449054490569,1.0240519878217,0.484774528187714,2.11242944560233,0.0346496316138395,0.541969789964104
"ENSG00000186732",9.33111176466169,1.40192116510916,0.561761279474837,2.49558169338361,0.0125750795577711,0.402250412882786
"ENSG00000117154",6.17195307193568,1.13132495969717,0.551106608161128,2.05282415950708,0.0400896345287602,0.550453744315203
"ENSG00000237290",5.63664309136339,1.20644001200132,0.361572181257038,3.33665053491401,0.000847944946327074,0.142327639001525
"ENSG00000187889",22.3752993096083,1.13042770529107,0.32456812715788,3.4828672648476,0.000496074260070532,0.116299321554828
"ENSG00000230880",26.4868548657774,1.12722029623043,0.431460310674175,2.61257007502985,0.00898642676416331,0.364587500105886
"ENSG00000265466",10.3021378343526,1.33105343683967,0.497638687403881,2.67473866186653,0.00747875235956775,0.343346504194597
"ENSG00000225015",40.7988267989613,1.12508630396047,0.451172599815313,2.49369377577678,0.012642155833459,0.402250412882786
"ENSG00000265715",3.7722155777082,1.42967276904416,0.577240053568591,2.47673868125693,0.0132588939122065,0.411480607998305
"ENSG00000242676",2.38752601123102,1.6872733262336,0.609184410460276,2.7697250574071,0.00561036294015495,0.313744063552237
"ENSG00000198797",54.2113347332986,1.41168825784244,0.466989913963036,3.02295235000339,0.00250321655247135,0.219331464875741
"ENSG00000143355",31.5029222669704,2.32904316360682,0.638281979177143,3.64892514529293,0.000263339815382985,0.0898343451735521
"ENSG00000133048",17.5934254261687,1.01987761630942,0.373576626544311,2.73003593866022,0.00633274214965288,0.329101028288026
"ENSG00000186007",67.1075357299947,1.19635221440538,0.333486284176644,3.587410550809,0.000333978249164226,0.097542699026197
"ENSG00000203697",3.02751349270455,1.43609214835205,0.55054154871598,2.60850820742127,0.00909378309429448,0.36512772866775
"ENSG00000132205",341.875797477959,1.28201169488798,0.341629476120776,3.75263782693843,0.000174983569779193,0.0703481243369051
"ENSG00000266373",3.98691908871336,1.05896313550631,0.405432719453907,2.61193308949674,0.00900318729094806,0.364587500105886
"ENSG00000134765",6.34881511747672,1.57762906722269,0.52834929172284,2.98595851634127,0.00282690988853039,0.231233936804831
"ENSG00000180730",56.3099544790863,1.14515592923417,0.509900682361982,2.24584113896365,0.0247141851973411,0.49578355335192
"ENSG00000132975",35.8875325541026,2.10864801490868,0.602508947986387,3.49977875342081,0.000465644463741,0.112658459316708
"ENSG00000215430",2.87173869629906,2.61251713030132,1.28763473149082,2.02892719993391,0.0424657058616515,0.555627989633367
"ENSG00000226974",2.15525662766177,2.37600022802374,1.02288003628116,2.32285326113321,0.0201870367050481,0.472481216811777
"ENSG00000237378",2.1802939557504,2.22382243281039,1.08697241469666,2.04588672421,0.0407675168002813,0.550453744315203
"ENSG00000078328",82.3343798593353,1.15613187479789,0.564661091537812,2.04747926167403,0.0406110510309087,0.550453744315203
"ENSG00000188897",169.10042292461,1.39826138512646,0.37015692077429,3.77748275569612,0.000158421470239595,0.0683049092699703
"ENSG00000262999",5.59123371421597,1.27219840792231,0.466085367925456,2.72953946952863,0.00634228564272379,0.329101028288026
"ENSG00000260518",5.44313222136558,1.18809637205833,0.51212772764329,2.3199219802562,0.0203450982910262,0.472481216811777
"ENSG00000260848",10.8576607024193,1.02251274710562,0.45393791487451,2.25253875827555,0.0242882462853736,0.494130825693947
"ENSG00000124610",2.40487033112269,1.26448831349252,0.569318307363963,2.22105682732619,0.0263471126655892,0.504326011424264
"ENSG00000198327",2.53722402390988,2.3026367596974,1.02645174573362,2.24329762141099,0.024877628662199,0.497436905129836
"ENSG00000204296",26.4480423244846,1.0149139868566,0.380693685352764,2.665959604547,0.00767689167618386,0.347848562435215
"ENSG00000161896",32.8111317521492,1.22938578938275,0.393777546753284,3.12203120649996,0.00179607899153161,0.193959969462642
"ENSG00000185760",38.4822069652433,1.04422027940363,0.437829679494087,2.38499199188649,0.0170794931385359,0.45407946458574
"ENSG00000233844",4.18447522117198,1.14813958773541,0.487323770946437,2.35600981562133,0.0184724295775574,0.465330042279705
"ENSG00000203909",2.88590872303915,1.17494873330374,0.546512611648066,2.14990232295017,0.0315629418562712,0.526940588545974
"ENSG00000146276",62.0934196810014,1.35945085862434,0.652895111394087,2.08218875421137,0.0373252320738698,0.54775076139243
"ENSG00000220908",4.07916161620673,2.17121405050432,1.10274931368793,1.96890990867463,0.048963437503422,0.585201802869273
"ENSG00000242486",6.45909324061147,1.06891059524673,0.376671365402304,2.83778033964722,0.00454284340929007,0.28607742198921
"ENSG00000225174",9.20912721952045,2.05706617030103,0.736481801422408,2.79309843953796,0.00522058021958762,0.299830620719559
"ENSG00000112333",66.6111501627818,3.09825149440469,0.603244782961342,5.1359772714408,2.80681582124145e-07,0.00167005541363866
"ENSG00000186439",86.7580348337752,1.02114031308463,0.473754033881126,2.15542294113922,0.0311287527438413,0.526035028697241
"ENSG00000232529",5.92700451100928,1.10066992403139,0.511087972605852,2.15358212876636,0.0312729570137106,0.526035028697241
"ENSG00000164488",43.811330430935,1.21657218937047,0.46722502987439,2.60382494854254,0.00921898295081642,0.366174556457662
"ENSG00000225882",30.6054659980991,1.12979312133377,0.475231449845412,2.37735343841676,0.0174373710070605,0.4580067169071
"ENSG00000226372",3.04111432031061,1.70456251211197,0.49877425677,3.41750298652242,0.000631984007036885,0.123754226796805
"ENSG00000242657",3.10899750398503,1.13347627598708,0.39961668266781,2.83640880160477,0.00456240062769901,0.286110993581086
"ENSG00000215070",3.88375593546361,1.84108625998848,0.68855111054613,2.67385562493423,0.00749847255515393,0.343346504194597
"ENSG00000233320",8.95511731428869,1.00838243045949,0.464229962334512,2.17216145504385,0.0298434869017408,0.522128602151566
"ENSG00000147246",10.4413807595869,2.95712074860307,0.667816562692229,4.42804343857805,9.50917534707635e-06,0.0101034988062686
"ENSG00000165370",6.29470489644772,1.51902841521793,0.428547984060518,3.5445935384529,0.00039321895360825,0.108162623564579
"ENSG00000179542",227.271205827993,1.41580148363043,0.49703965461658,2.84846786464672,0.0043930289663882,0.282349436219827
"ENSG00000185985",2259.74934156592,1.73292314785415,0.57534803436053,3.01195631923936,0.00259569945560091,0.223832054504716
"ENSG00000221870",198.750294290541,1.84264216704746,0.559542155607355,3.29312483176065,0.000990804734641855,0.154667906799862
"ENSG00000132164",87.2670692200266,1.39123846845131,0.575171554183063,2.41882349419616,0.0155707935918623,0.434253819129729
"ENSG00000179796",119.357022424379,1.02013098869374,0.475433494510315,2.14568599072821,0.0318980396265854,0.528409342882283
"ENSG00000234165",30.0458080589177,1.25592243921499,0.518623066266582,2.42164786124152,0.0154503141106816,0.434253819129729
"ENSG00000163508",29.0197759915926,2.66277733634021,0.621934950970115,4.28144025703448,1.85687577967827e-05,0.014930284985251
"ENSG00000153266",5.64288542211567,1.88300989952244,0.811490922275675,2.3204324877004,0.0203174931309065,0.472481216811777
"ENSG00000244342",2.7157520286603,1.17980883010201,0.435436420523402,2.70948587323922,0.00673875747928099,0.334130946030075
"ENSG00000183662",22.8065400272475,1.03818569728422,0.490044565081065,2.11855364034592,0.0341282071601408,0.539695753108244
"ENSG00000242828",22.977985879811,1.67254125458518,0.498735354031227,3.35356465320975,0.000797777734932371,0.138794664410749
"ENSG00000242781",9.07416721486383,1.70431263600163,0.493825940283394,3.45124161566639,0.000558013775924374,0.121246252676883
"ENSG00000264084",3.43221805618964,1.07017022475956,0.453431831025318,2.36015681197249,0.0182672115345625,0.462904210522345
"ENSG00000239767",2.23815364995765,1.71652189292829,0.657885176285373,2.60915119355678,0.00907671286949311,0.36512772866775
"ENSG00000239482",37.3314646364298,1.08446931709569,0.300459473176856,3.6093696951181,0.000306941909197386,0.0943992993413482
"ENSG00000240661",23.0505886585657,2.95714879555656,0.511131633970516,5.78549359699216,7.22997148725117e-09,0.000107545825872861
"ENSG00000242613",5.03316585372272,3.33920169788422,0.613825793096004,5.43998270428164,5.32857440773484e-08,0.000396312721575279
"ENSG00000014257",1.73467633610336,2.9322788631756,1.01914009859354,2.87720880301175,0.00401210018202826,0.271890615980275
"ENSG00000163646",32.0421433141762,1.01319757180838,0.505004904758789,2.00631233926793,0.0448229343426907,0.568366410476646
"ENSG00000168779",1081.20219737003,1.48809400931588,0.542842582736092,2.74129933177945,0.00611967286039061,0.325231612179091
"ENSG00000188729",3.93610606346201,1.33683236624718,0.590958943241578,2.26214085011435,0.023688702421685,0.494110892110431
"ENSG00000064218",7.613469676003,1.83166335569544,0.675803316095591,2.71034976016063,0.00672122906144465,0.334130946030075
"ENSG00000107165",44.6446801788487,1.09787973843009,0.28865310431125,3.8034572364975,0.000142690634885842,0.0633589013112506
"ENSG00000237207",5.92688148005382,1.55069166947889,0.433216081753616,3.57948777709693,0.000344268349504225,0.097542699026197
"ENSG00000170165",1.88166164956646,1.93816942265615,0.774251384954305,2.50328182851173,0.0123047517829923,0.400072530649205
"ENSG00000236816",7.42996362292495,1.93697202653952,0.878410103756866,2.20508850963269,0.0274478842280215,0.509964450550826
"ENSG00000236029",2.99875455626477,1.58096492355808,0.455674114534468,3.46950786347222,0.000521412804145572,0.118283625828115
"ENSG00000237869",1.68069102166598,1.67165134090996,0.720896941956431,2.31884926071859,0.0204032111146547,0.472481216811777
"ENSG00000119125",37.0119134893067,1.12649608571794,0.453070112087827,2.48636150490451,0.0129056791952485,0.406160951591552
"ENSG00000106689",112.8173797438,2.11574476215959,0.590722789645147,3.58162034586569,0.000341469776291452,0.097542699026197
"ENSG00000236668",5.27240510337643,2.04211115435433,0.788703090912186,2.58920140910377,0.00961988104430685,0.373681099793851
"ENSG00000231227",1.70165862520557,2.17372985171493,0.932629395264314,2.33075416961191,0.0197663260183653,0.470891614800737
"ENSG00000234921",4.11983462292427,2.18595035189864,0.699844253669612,3.1234811751853,0.00178725297716026,0.193959969462642
"ENSG00000184344",33.5093648127482,2.32619269013229,0.823037311362945,2.8263514399853,0.00470815774703737,0.289995223549403
"ENSG00000255790",9.20717093077039,1.0194781790453,0.341549059174662,2.98486601458902,0.00283702561586258,0.2312370193751
"ENSG00000255627",3.52951058440263,1.93336295326978,0.543939019324264,3.55437445115006,0.00037887935781283,0.105342625186278
"ENSG00000173157",23.1344482983505,1.12956831898678,0.346312837873713,3.26169923680012,0.00110746576880398,0.159801447003192
"ENSG00000224709",3.27509822856483,1.06663646866484,0.51119116205714,2.08657063704401,0.036926963834361,0.54775076139243
"ENSG00000221259",3.69395588431886,1.01544688609539,0.446197074177897,2.27578113990621,0.0228591121057709,0.490490686110039
"ENSG00000183273",15.4601061846204,1.45894500696814,0.571930202882022,2.55091442909703,0.0107440701634069,0.382797709414797
"ENSG00000158104",52.7781515132658,1.11409769392589,0.41941553568426,2.65631002940386,0.00790009478351066,0.35279857361775
"ENSG00000182782",5.08515927138315,1.62225133769452,0.601073503545328,2.69892338977837,0.00695641881599202,0.336509690692297
"ENSG00000189238",3.69319698351918,5.01494607180386,1.06611950382348,4.70392489192674,2.55207165172868e-06,0.00474525822743301
"ENSG00000244306",2.60140401767655,1.87239998520699,0.773620299562495,2.42030875646087,0.0155073338561823,0.434253819129729
"ENSG00000129538",1.83117277894714,3.55275324376224,1.41360391956633,2.51325933282086,0.0119621364939055,0.394101396117042
"ENSG00000168952",54.4454269456412,1.53869286168327,0.688102738040487,2.23613826340091,0.0253427157095678,0.499398008881607
"ENSG00000176165",108.095613524053,4.42858507377475,0.892080621811714,4.96433278057402,6.8937652551581e-07,0.00227877240378837
"ENSG00000186960",10.6178119855148,3.24984607109777,0.978451914662816,3.32141623149431,0.000895618627017964,0.147147959055217
"ENSG00000257056",8.77726259852342,4.84197159741699,0.955145433353951,5.06935533410302,3.99165400018301e-07,0.00175410254455692
"ENSG00000258998",13.4646804827265,1.81301135573512,0.632491622512576,2.86645908215025,0.00415091815280981,0.275646908585027
"ENSG00000165588",248.470683280971,3.56861189329803,0.747999098046059,4.77087726792725,1.83425284460028e-06,0.00389778729477559
"ENSG00000248550",24.9047691713268,2.48821375882305,0.616887586426258,4.03349623751991,5.49530610018025e-05,0.0320559522510515
"ENSG00000258776",18.8637341085852,3.18476296939538,0.693833462666113,4.59009710652706,4.43039846059754e-06,0.00599110700921713
"ENSG00000243388",2.07723872358586,1.54277521026249,0.722923002182503,2.13407957086004,0.0328362678606389,0.532652067288052
"ENSG00000126803",67.4415207801552,2.37041532319056,0.53426241066094,4.43679973715183,9.13061651863588e-06,0.0100605867196081
"ENSG00000235785",4.60591662088075,1.08364710980141,0.53106591936347,2.04051337186211,0.0412992205721791,0.551707145048194
"ENSG00000214548",61.0605931448659,2.52526044178978,0.533557277341628,4.73287601730694,2.21360711975948e-06,0.00439032078752297
"ENSG00000066735",202.787221186705,1.16969292511193,0.315542027347382,3.70693227442633,0.000209785014434193,0.079090432819995
"ENSG00000238783",3.49077985268914,1.11979339082182,0.430261997229367,2.60258493204751,0.00925238946771998,0.366468163386464
"ENSG00000169856",89.2340040546915,1.40749921038744,0.412953746953894,3.4083701159505,0.00065352188255097,0.12391225942279
"ENSG00000248540",20.1600149137765,1.10135395407647,0.541092419935249,2.03542669144813,0.0418079579064958,0.554188789009613
"ENSG00000260477",4.88172328488251,1.00205772614274,0.492963764870972,2.03272085607553,0.0420807329706941,0.555167097950399
"ENSG00000166748",64.5138826672971,1.10190936526942,0.41872705370786,2.63156955231799,0.00849914686212826,0.361730499496875
"ENSG00000157766",8.83766667219092,1.66925015301333,0.500455252118191,3.3354633525139,0.00085157377284946,0.142327639001525
"ENSG00000231934",13.6692480240853,1.38570240157915,0.551725287919826,2.5115803678379,0.0120191914713819,0.394452080579802
"ENSG00000196090",32.3075256002827,1.58178656912676,0.618941313219005,2.55563255407878,0.0105994981486867,0.381933338450394
"ENSG00000064655",7.32178475914057,1.06572191110052,0.481854202275922,2.2117103183221,0.0269866870948186,0.506213077598268
"ENSG00000174403",3.42146340986864,1.0517398625228,0.483253875631435,2.17637129376057,0.0295275084935275,0.520558652670971
"ENSG00000231977",20.5202433148308,1.09756825254987,0.418289908162724,2.62394150834473,0.00869187105835703,0.362382362229709
"ENSG00000206034",3.27507103555703,1.39920855856323,0.6229954346446,2.24593709801651,0.0247080372316177,0.49578355335192
"ENSG00000253888",13.6831697919379,1.21016774786541,0.452480495517968,2.67451914469838,0.00748365032165888,0.343346504194597
"ENSG00000253523",13.7307813969103,1.01837051975532,0.353937440993366,2.87726135132001,0.00401143206991991,0.271890615980275
"ENSG00000147571",14.8944487827487,3.2439502762259,0.665421641947349,4.87502971308915,1.08792078787463e-06,0.00294233122175185
"ENSG00000222889",4.62084703402857,1.07242411557487,0.463153786543361,2.315481696865,0.0205865850909159,0.473300545946483
"ENSG00000174226",123.706378890542,1.05173823931088,0.386095836008261,2.7240341418455,0.00644898394046415,0.330403773661792
"ENSG00000254166",3.75734566761359,1.37575523082245,0.556313537733424,2.47298535359692,0.0133989634159056,0.412775962570118
"ENSG00000248685",1.78716065799751,3.67356287901961,1.39439112570944,2.63452829789817,0.00842542803982204,0.360656811776555
"ENSG00000178343",36.0691239436886,1.49050701971131,0.432952482995051,3.44265728516067,0.000576028791111005,0.121246252676883
"ENSG00000109158",6.05937436298179,3.15293853037984,0.806005295270181,3.9118087050817,9.16074623445274e-05,0.0466245285101273
"ENSG00000134853",84.0126461720578,1.36920528949261,0.590081149335628,2.32036778506514,0.0203209900495137,0.472481216811777
"ENSG00000173610",2.95819031113006,1.61667275130653,0.676509856719407,2.3897253458305,0.0168609766144396,0.450281915870357
"ENSG00000251331",9.09985922037067,1.40608591645023,0.37281363165023,3.77155178105022,0.000162235482018541,0.0689500798578799
"ENSG00000248749",7.08540869116308,1.4011216354035,0.532279891718066,2.63230239805045,0.00848083405770372,0.361468213777487
"ENSG00000029559",2.13599388609372,1.71033415379297,0.826521487469539,2.06931601866673,0.0385164414319151,0.549263151653045
"ENSG00000196616",7.40509530778069,1.13677871234162,0.356041634283402,3.1928252285146,0.0014088819011098,0.177069620434154
"ENSG00000250500",6.75939571270859,1.0272942370017,0.337555473878066,3.04333455239061,0.00233972058131716,0.216604202648577
"ENSG00000256394",6.02151268721065,1.5690161644044,0.758932987668461,2.06739750399389,0.0386967132589152,0.549289449134428
"ENSG00000151790",21.6983836379829,1.29047522157525,0.595095994032601,2.16851606214065,0.0301194438776786,0.523298208818986
"ENSG00000248174",3.90250577406068,1.44303087652817,0.522232093682666,2.76319838245144,0.00572379659528885,0.317100463146822
"ENSG00000251504",2.50511222138304,1.0275903200495,0.523694792661006,1.96219312173814,0.0497400044348714,0.586812366242339
"ENSG00000250626",2.28625397820237,1.80988759806365,0.903694462059039,2.00276495436286,0.0452025231577146,0.570303250187451
"ENSG00000230014",2.78098502239458,2.99309232633893,0.757194871475093,3.95286925346982,7.72196353435272e-05,0.0433449839899988
"ENSG00000235838",2.61817944015173,2.1496406199933,0.723224204328159,2.97230182166015,0.002955759599768,0.235901991276919
"ENSG00000228636",2.44390047448364,1.63387647720635,0.647334530186975,2.52400636921751,0.0116025826447979,0.388427296710404
"ENSG00000229240",16.1204782175816,1.15851870907355,0.472252337425033,2.45317728947707,0.0141600530165591,0.421261577242634
"ENSG00000231496",4.13810267477395,1.63159244684701,0.578296825040435,2.82137541864065,0.00478182065827258,0.290687030191139
"ENSG00000165985",26.0818834073943,1.23662209557477,0.438969832281686,2.81710041245209,0.00484593727457296,0.291835291333088
"ENSG00000177283",76.3209493715307,1.78929643051402,0.478685894572736,3.73793431308668,0.000185538403223113,0.0716852921543846
"ENSG00000215146",116.422981717146,1.2589446963898,0.396012299173651,3.17905453698485,0.001477562879852,0.179598525358501
"ENSG00000070748",37.3826741526212,1.52954914080569,0.455664676191536,3.35674284342101,0.000788664280554886,0.138016249097105
"ENSG00000107984",72.2721941522141,1.53520665911729,0.340154780872858,4.51325909686717,6.38389539775009e-06,0.00759683552332261
"ENSG00000223841",2.44257277794555,1.60005878005193,0.653008395514157,2.45028822147394,0.0142741904041139,0.421820822379539
"ENSG00000043591",5.47274260673438,1.25087231987402,0.518742129204243,2.41135672129208,0.0158932951400296,0.437629176128686
"ENSG00000229847",33.3897425398147,2.07305693985818,0.666011520305383,3.11264426613467,0.0018541936571433,0.196426713869462
"ENSG00000170370",76.9432811352325,2.31876431171428,0.682304013516056,3.39843275985612,0.000677731205297964,0.12391225942279
"ENSG00000255624",3.42009102739647,1.13853027133024,0.481161963042435,2.36621004730132,0.017971245156872,0.4613632357248
"ENSG00000267600",2.66500167158359,1.2773912289333,0.532969030411624,2.39674569448574,0.016541399568549,0.446557746973079
"ENSG00000130303",66.544758558085,1.15465219270575,0.351904832268257,3.28114901197365,0.00103385108918025,0.158541597438724
"ENSG00000130513",95.733499573688,1.4705813769459,0.469231243324363,3.1340227187927,0.00172427505440145,0.193574274975258
"ENSG00000204866",11.5462668156771,1.18896554913462,0.496289702020325,2.39570868445287,0.0165882684230226,0.447011762305184
"ENSG00000104888",61.4183442222335,1.69747496519102,0.386225116901541,4.39504032986997,1.10752189784784e-05,0.0106286375680559
"ENSG00000249781",4.98303453881157,1.35965092357186,0.454257635647784,2.9931272847686,0.00276134558346207,0.229258884168056
"ENSG00000212305",4.77424207763931,1.44042837079998,0.703242226663633,2.04826774642608,0.0405337715205388,0.550453744315203
"ENSG00000251112",5.35353478110032,1.40424868168912,0.591330023474648,2.3747292137101,0.0175618285416805,0.458109551928886
"ENSG00000168621",22.1096084350627,1.03279505798485,0.503469049721452,2.05135759299654,0.0402321356251391,0.550453744315203
"ENSG00000016082",3.62097669991472,1.65930505298233,0.701162032623383,2.36650727760326,0.0179568212176772,0.4613632357248
"ENSG00000145681",41.7241172613488,3.47126877728951,0.688653827644327,5.0406585107697,4.63932674502436e-07,0.00175410254455692
"ENSG00000251574",3.78592411559774,1.50309684461502,0.723703755026702,2.07695045683376,0.0378061320857172,0.547831503461604
"ENSG00000181965",5.51472400553308,2.75390630507368,0.810312392028493,3.39857360218779,0.000677382337499688,0.12391225942279
"ENSG00000253537",102.643092194667,1.52487724392047,0.419407097868222,3.63579265031796,0.000277127180385686,0.0898343451735521
"ENSG00000169247",8.17822073286288,1.13885562186012,0.420243916209113,2.70998717157733,0.00672858105080278,0.334130946030075
